226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.7415654094808458,-0.9523350365777425,-0.14120200397308846,-0.8558148538520001,-0.854576375436199,-0.8549987990137748,-0.8431043608536902,-0.7415697314688776,-0.8341683609908155
-0.4154933790401346,-0.9202426425466989,0.2999761139079917,-0.7329243261326508,-0.731050050780905,-0.7308349079033771,-0.7156473997254842,-0.4154962257146394,-0.6938297837916547
-0.5862635505802414,-0.9331540339008476,0.08410616616366728,-0.7931437593995214,-0.7915827748904043,-0.7917349689523501,-0.7779965730382438,-0.5862671699047148,-0.7629150644742021
-0.6526999533669045,-0.9339842564047729,-0.056106856531008775,-0.8173297564922835,-0.8159764840429985,-0.8162063094317935,-0.803972404883869,-0.6527038732830095,-0.7915145370315441
-0.730118858127614,-0.9345854520110637,0.24223837621194466,-0.812050529664142,-0.810258657458348,-0.8112243395307064,-0.7928482358323838,-0.7301231283257024,-0.7833709949682617
-0.6214481612178696,-0.9385161833984413,0.25213080885851413,-0.7923974824101844,-0.7905858187892405,-0.7911016882299726,-0.7740403161417075,-0.6214577403786661,-0.7603156027030087
-0.7106496664239043,-0.9460447555774848,0.13063628347254252,-0.8250945882694758,-0.8234588828487468,-0.8241519963416655,-0.8079959450609586,-0.7106484345996783,-0.7977974684909639
-0.7120272743475784,-0.9398071793920452,0.31876061159748303,-0.8069739467903301,-0.8050652028702223,-0.8060461132842177,-0.7866267751572186,-0.7120251206533845,-0.7764408946031506
-0.6463948371103536,-0.9625829023691257,0.04141340839888619,-0.831431697715899,-0.829914636515441,-0.8301644467496544,-0.8164736384106792,-0.6463927731716372,-0.8037999600912508
-0.6421043138919715,-0.9332370847796023,0.042099526861239855,-0.8075416507489979,-0.806043844014377,-0.8063690335053832,-0.7925970449183181,-0.6421080311842594,-0.7797090975768917
-0.7529346192708801,-0.966735102766516,0.09529096351839872,-0.8523981617555885,-0.8508012105201426,-0.8515555488287976,-0.8355282634633844,-0.7529389926989234,-0.8270171445829265
-0.5330525551003531,-0.9356160730504192,-0.5385142199163924,-0.8290257023320784,-0.8283799416337247,-0.827434725646825,-0.8250679561133588,-0.5330559336715754,-0.8080173441266725
0.4702343453231965,-0.6444464484297987,-0.004682466709987176,-0.359457473349895,-0.35820344780409086,-0.35475220442941924,-0.3554799989234675,0.47023883182774395,-0.2986522707538978
0.3654686239392946,-0.5115125093775779,0.09659115422591125,-0.2693503369753013,-0.26804157884825763,-0.26558451912571424,-0.26257524513541886,0.3654714763024376,-0.2096287947018438
1.0,-0.2215469364145467,-0.05045881936469965,0.07563440733244842,0.0765397390514928,0.08092538086213708,0.07416411737792572,0.9999999999999998,0.15234356039973473
-0.9644797269780945,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9644845934909047,-0.9999999999999999
-0.3839367837905384,-0.9064538777760743,0.12966292060485052,-0.7279739745674865,-0.7263596753725367,-0.7258192175038007,-0.7139070055351712,-0.38394072515777755,-0.690868986048117
-0.6341578549812432,-0.6130788386446817,-0.13239731806025168,-0.5678551776639067,-0.5668365565511968,-0.5678916474493761,-0.555777839578717,-0.6341572825145403,-0.5587872054707343
0.8560346354081976,0.9999999999999998,-0.08760729323352845,1.0000000000000002,1.0,0.9999999999999998,1.0,0.856035762900631,1.0000000000000002
-0.3364328996005578,-0.9418710552800791,-0.8845065046566123,-0.8189425553910388,-0.8187981740883458,-0.816534093116702,-0.8227623823663978,-0.3364373221135999,-0.798094087572739
0.28825753595889636,-0.8867800664721941,-0.6708835256012873,-0.6338924560181638,-0.6334569439933652,-0.6290700964971064,-0.6398191425418727,0.2882533102338818,-0.5905955571854624
-0.4036808474098522,-0.9364640737672734,-0.8429594832731102,-0.825350811968593,-0.8251504415309606,-0.8232405740553552,-0.8278265706160457,-0.40367838138844203,-0.8057738252536093
-0.35732355189427467,-0.9389080197919318,-0.8164728754977045,-0.8159677277240037,-0.8157255601760022,-0.8136524654807885,-0.818424853546726,-0.35731963865858185,-0.7945508378140791
-0.3773476693139265,-0.9242740885123113,-0.8482076555369926,-0.8108500707024616,-0.8106653032397692,-0.8086770840872158,-0.8136567117315128,-0.37735119415913876,-0.7905491767472211
