226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
-0.2718467904685048,-0.7476621779187156,-0.3435352163454032,-0.3682211040674602,-0.3682211040674602,-0.3682211040674602,-0.3682211040674602,-0.3682211040674602,-0.5328495734939513
0.45204648291346594,-0.049244954514212846,-0.07314886478642131,-0.04047215456808496,-0.04047215456808496,-0.01340265356107146,-0.0589409040801433,-0.04047215456808493,-0.7986884935020104
-0.3739228265020569,-0.8018197138226288,-0.2781322755020641,-0.4010810094419916,-0.4010810094419916,-0.4010810094419916,-0.4010810094419916,-0.4010810094419916,-0.6532947935893509
-0.37697746025655277,-0.803313645539089,-0.3682211040674602,-0.45295847251755417,-0.45295847251755417,-0.45295847251755417,-0.45295847251755417,-0.45295847251755417,-0.5481805214873139
0.315366579361602,-0.23335942645868638,-0.24446770403967927,-0.23476843530384486,-0.24446770403967927,-0.23476843530384486,-0.2659942935352696,-0.29149175262130816,-0.8183281411634281
0.45627187538618114,-0.043092572327089684,-0.022370024674109767,0.10291365131252297,0.10810253341780246,-0.00446433894554996,0.10810253341780246,0.10810253341780246,0.58121927088187
0.4044112264068884,-0.1166659200517988,0.1297260928771628,0.14707828864365574,0.14707828864365574,0.08776816574589255,0.14116734077001195,0.14707828864365574,0.44597480051720817
0.4866309953102634,0.001966437628737605,0.09779862357020279,0.1657199799835556,0.1657199799835556,0.10291365131252297,0.17906190844290285,0.1722872971016688,0.658329816531873
0.5934300703131823,0.17241548364727832,0.02687078817482984,0.1722872971016688,0.1722872971016688,0.04047215454926681,0.16571997998355614,0.19332662378355464,0.5167408622346847
0.2045068579013934,-0.36250753654370244,-0.02687078819364812,0.04504789122504308,0.04504789122504308,-0.02237002467411014,0.04504789122504308,0.04964927171360548,0.7863636529286175
0.13385875548853426,-0.43606478182603925,0.01340265354225318,0.02687078817482984,0.02687078817482984,-0.04047215456808187,0.0359192143318127,0.02687078817482984,0.41976764473577033
0.24328812308510175,-0.31929045685183194,-0.04964927173242376,0.022370024655291833,0.022370024655291833,-0.07314886478642131,0.02687078817482984,0.031386316619708095,0.6510712693104226
0.3691882077665687,-0.16426134034405268,0.06837225168386077,0.1353868214150876,0.14116734077001195,0.09275185677456899,0.14707828864365574,0.15313154013784647,0.8481319482299732
-0.009811215406810708,-0.5664920567834622,0.11872661316090824,0.05427925048665576,0.05427925048665576,0.05427925048665576,0.05894090406132502,0.05427925048665576,0.616962675575498
0.3695727615305304,-0.16375197114817702,0.15934042276771046,0.15313154013784647,0.15313154013784647,0.1297260928771628,0.15934042276771046,0.15934042276771046,0.5719715763062396
0.5050829858017492,0.030071131418296926,0.15313154013784647,0.244467704020861,0.244467704020861,0.15313154013784647,0.244467704020861,0.244467704020861,0.6870775839178471
